route_id,service_id,trip_id,trip_headsign,shape_id,block_id,direction_id
61-VIC,3603,10867354:8938925:8959303,Langford Exch,19003,8959303,0
61-VIC,3602,10867354:8938925:8960131,Langford Exch,19003,8960131,0
57-VIC,3603,10870015:8938926:9200079,Thetis Heights via McCallum,22957,9200079,0
57-VIC,3602,10870015:8938926:9200104,Thetis Heights via McCallum,22957,9200104,0
95-VIC,3602,10868194:8938927:8959474,Blink - to Langford,18836,8959474,1
95-VIC,3603,10868194:8938927:8959696,Blink - to Langford,18836,8959696,1
6-VIC,3706,10735769:8938928:8960639,Royal Oak Exch via Royal Oak Ctr,18715,8960639,0
75-VIC,3603,10869604:8938929:9200092,Downtown,18820,9200092,1
75-VIC,3602,10869604:8938929:9200148,Downtown,18820,9200148,1
14-VIC,3602,10868273:8938936:9199361,UVic via Richmond,26515,9199361,0
14-VIC,3603,10868273:8938936:9199826,UVic via Richmond,26515,9199826,0
83-VIC,3706,10781894:8938937:8959362,Sidney via West Saanich,19128,8959362,0
72-VIC,3603,10867997:8938938:8959202,Swartz Bay Ferry via Saanichton,18512,8959202,0
72-VIC,3602,10867997:8938938:8959462,Swartz Bay Ferry via Saanichton,18512,8959462,0
6-VIC,3603,10869241:8938940:8960360,Royal Oak Exch via Royal Oak Ctr,18715,8960360,0
6-VIC,3602,10869241:8938940:8960486,Royal Oak Exch via Royal Oak Ctr,18715,8960486,0
57-VIC,3603,10869891:8938942:9199397,Langford Exch via McCallum,22937,9199397,1
57-VIC,3602,10869891:8938942:9199457,Langford Exch via McCallum,22937,9199457,1
4-VIC,3344,10724184:8938943:8960366,UVic via Hillside,18645,8960366,0
57-VIC,3603,10869785:8938946:9199441,Langford Exch via McCallum,22937,9199441,1
57-VIC,3602,10869785:8938946:9199677,Langford Exch via McCallum,22937,9199677,1
22A-VIC,3603,10869032:8938951:9442078,Vic General via Straw Vale,29127,9442078,0
22A-VIC,3602,10869032:8938951:9442261,Vic General via Straw Vale,29127,9442261,0
26-VIC,3344,10724908:8938955:8959178,Dockyard via McKenzie/Tillicum,31926,8959178,1
61-VIC,3603,10867427:8938956:8960292,Sooke,19637,8960292,1
21-VIC,3706,10782448:8938958:9200125,Interurban to Camosun only,23380,9200125,0
75-VIC,3344,10724996:8938961:8960333,Butchart Gardens,34635,8960333,0
3-VIC,3344,10782346:8938967:9200151,Royal Jubilee via Quimper Loop,19489,9200151,1
6-VIC,3344,10723964:8938972:8959488,Downtown,18962,8959488,1
7N-VIC,3706,10782651:8938976:9199782,UVic via Cook St Village,21703,9199782,1
4-VIC,3603,10867477:8938980:8959423,UVic via Hillside,18645,8959423,0
4-VIC,3602,10867477:8938980:8960047,UVic via Hillside,18645,8960047,0
14-VIC,3344,10724764:8938992:8959579,UVic via Richmond,26515,8959579,0
6-VIC,3603,10869109:8938994:8959179,Downtown,18962,8959179,1
6-VIC,3602,10869109:8938994:8960049,Downtown,18962,8960049,1
22-VIC,3603,10869074:8938995:9200092,Hillside Ctr via Hastings,19096,9200092,1
22-VIC,3602,10869074:8938995:9200148,Hillside Ctr via Hastings,19096,9200148,1
21-VIC,3602,10868681:8938996:9199332,Interurban to Camosun only,23380,9199332,0
21-VIC,3603,10868681:8938996:9199841,Interurban to Camosun only,23380,9199841,0
72-VIC,3706,10735052:8938997:8960179,Swartz Bay Ferry via Saanichton,18512,8960179,0
4-VIC,3603,10867554:8939004:8959756,UVic via Hillside,18645,8959756,0
4-VIC,3602,10867554:8939004:8960067,UVic via Hillside,18645,8960067,0
53-VIC,3344,10781007:8939005:9200124,Vic General via Atkins,34562,9200124,0
72-VIC,3344,10880336:8939008:8959885,Downtown via Saanichton,18716,8959885,1
24-VIC,3706,10735729:8939013:8960528,Tillicum Ctr via Colville,21694,8960528,1
31-VIC,3603,10869526:8939014:8958926,Downtown,18859,8958926,1
31-VIC,3602,10869526:8939014:8959837,Downtown,18859,8959837,1
6A-VIC,3344,10723984:8939017:8960296,Royal Oak Exch via Emily Carr,21583,8960296,0
21-VIC,3344,10781230:8939018:9199425,Interurban to Camosun only,23380,9199425,0
81-VIC,3602,10870126:8939021:8959082,Brentwood,26378,8959082,1
81-VIC,3603,10870126:8939021:8960011,Brentwood,26378,8960011,1
95-VIC,3344,10880493:8939022:8959335,Blink - to Downtown,18717,8959335,0
88-VIC,3706,10781709:8939030:8959011,Sidney,19277,8959011,0
6-VIC,3706,10735780:8939038:8958938,Downtown,18962,8958938,1
61-VIC,3602,10867390:8939039:9442326,Downtown,18787,9442326,0
61-VIC,3603,10867390:8939039:9443818,Downtown,18787,9443818,0
5-VIC,3344,10723822:8939043:9443699,Willows,23383,9443699,0
6-VIC,3344,10723983:8939044:8959270,Downtown,18962,8959270,1
28-VIC,3344,10723611:8939046:9442479,Majestic via Shelbourne,26525,9442479,0
5-VIC,3706,10735603:8939047:9442620,Willows,23383,9442620,0
26-VIC,3602,10867651:8939048:8960045,Dockyard via McKenzie/Tillicum,31926,8960045,1
26-VIC,3603,10867651:8939048:8960282,Dockyard via McKenzie/Tillicum,31926,8960282,1
31-VIC,3344,10724348:8939051:8960460,Downtown,18859,8960460,1
57-VIC,3344,10781011:8939053:9199914,Thetis Heights via McCallum,22957,9199914,0
30-VIC,3344,10724459:8939061:8960460,Royal Oak Exch via Carey,18634,8960460,0
3-VIC,3602,10870337:8939062:9199347,James Bay,21723,9199347,0
3-VIC,3603,10870337:8939062:9199491,James Bay,21723,9199491,0
55-VIC,3706,10781789:8939063:8960579,Langford Exch via Happy Valley,26068,8960579,0
8-VIC,3602,10868615:8939067:9199340,Oak Bay via Finlayson,26940,9199340,0
8-VIC,3603,10868615:8939067:9199789,Oak Bay via Finlayson,26940,9199789,0
7-VIC,3344,10781423:8939070:9199474,UVic via Fairfield,18816,9199474,1
7-VIC,3344,10781375:8939073:9199901,UVic via Fairfield,18816,9199901,1
2-VIC,3706,10735600:8939076:9443017,South Oak Bay,23427,9443017,0
28-VIC,3602,10868285:8939077:9442200,Majestic via Shelbourne,18982,9442200,0
28-VIC,3603,10868285:8939077:9442482,Majestic via Shelbourne,18982,9442482,0
25-VIC,3344,10723891:8939079:8959390,Maplewood,34583,8959390,0
6-VIC,3602,10869203:8939084:8958995,Royal Oak Exch via Royal Oak Ctr,18715,8958995,0
6-VIC,3603,10869203:8939084:8959652,Royal Oak Exch via Royal Oak Ctr,18715,8959652,0
8-VIC,3602,10868635:8939086:9199340,Interurban via Finlayson,26945,9199340,1
8-VIC,3603,10868635:8939086:9199789,Interurban via Finlayson,26945,9199789,1
8-VIC,3706,10735413:8939092:8959263,Oak Bay via Finlayson,26943,8959263,0
39-VIC,3603,10868872:8939093:8959813,Westhills Exch via Royal Oak,28939,8959813,1
39-VIC,3602,10868872:8939093:8959928,Westhills Exch via Royal Oak,28939,8959928,1
70-VIC,3706,10735076:8939094:8958992,Swartz Bay Ferry via Hwy 17,34612,8958992,0
31-VIC,3706,10735994:8939097:8959695,Royal Oak Exch via Glanford,18743,8959695,0
2-VIC,3344,10723817:8939099:9442609,South Oak Bay,23427,9442609,0
11-VIC,3602,10868888:8939103:9443456,Tillicum Ctr via Gorge,34755,9443456,1
11-VIC,3603,10868888:8939103:9443871,Tillicum Ctr via Gorge,34755,9443871,1
58-VIC,3706,10782126:8939107:8959954,Goldstream Mdws via Westhills,18671,8959954,1
39-VIC,3602,10868866:8939110:8959291,Westhills Exch via Royal Oak,28939,8959291,1
39-VIC,3603,10868866:8939110:8960072,Westhills Exch via Royal Oak,28939,8960072,1
3-VIC,3706,10782196:8939112:9199387,Royal Jubilee,19664,9199387,1
75-VIC,3344,10724994:8939114:8960296,Butchart Gardens,34635,8960296,0
22-VIC,3603,10869065:8939116:9199464,Hillside Ctr via Hastings,23430,9199464,1
22-VIC,3602,10869065:8939116:9199971,Hillside Ctr via Hastings,23430,9199971,1
81-VIC,3603,10870062:8939117:8959420,to Sidney only,26252,8959420,0
81-VIC,3602,10870062:8939117:8960254,to Sidney only,26252,8960254,0
2-VIC,3603,10869758:8939120:9443031,South Oak Bay,23427,9443031,0
2-VIC,3602,10869758:8939120:9443201,South Oak Bay,23427,9443201,0
25-VIC,3344,10723945:8939123:8959848,Maplewood,34583,8959848,0
14-VIC,3706,10736256:8939129:9199558,UVic via Richmond,26515,9199558,0
61-VIC,3603,10867905:8939131:8960445,Langford Exch,19003,8960445,0
32-VIC,3706,10782442:8939134:9199805,Cordova Bay,18608,9199805,0
8-VIC,3602,10868599:8939140:8959784,Oak Bay via Finlayson,26940,8959784,0
8-VIC,3603,10868599:8939140:8960052,Oak Bay via Finlayson,26940,8960052,0
70-VIC,3602,10867966:8939143:8959029,Swartz Bay Ferry via Hwy 17,34612,8959029,0
70-VIC,3603,10867966:8939143:8959994,Swartz Bay Ferry via Hwy 17,34612,8959994,0
3-VIC,3344,10782330:8939145:9199604,Royal Jubilee,19664,9199604,1
75-VIC,3706,10736056:8939146:8959502,Royal Oak Exch - to 30 Downtown,19069,8959502,1
57-VIC,3706,10782096:8939149:8958986,Langford Exch via McCallum,22937,8958986,1
30-VIC,3344,10724408:8939150:8960415,Downtown,18838,8960415,1
95-VIC,3706,10735336:8939155:8959109,Blink - to Downtown,18717,8959109,0
6A-VIC,3706,10735788:8939156:8959030,Downtown via Emily Carr,21741,8959030,1
3-VIC,3706,10782252:8939158:8959832,Royal Jubilee via Quimper Loop,19489,8959832,1
30-VIC,3344,10724452:8939162:9442609,Royal Oak Exch via Carey,18634,9442609,0
10-VIC,3603,10870250:8939166:9199986,Royal Jubilee via Vic West,18674,9199986,0
10-VIC,3602,10870250:8939166:9200091,Royal Jubilee via Vic West,18674,9200091,0
15-VIC,3603,10867854:8939170:8959565,UVic - Fort/Foul Bay Express,19054,8959565,0
15-VIC,3602,10867854:8939170:8960426,UVic - Fort/Foul Bay Express,19054,8960426,0
57-VIC,3603,10869888:8939174:9199397,Thetis Heights via McCallum,22957,9199397,0
57-VIC,3602,10869888:8939174:9199457,Thetis Heights via McCallum,22957,9199457,0
95-VIC,3706,10735287:8939177:8959570,Blink - to Downtown,18717,8959570,0
70-VIC,3344,10880251:8939181:8959388,Swartz Bay Ferry via Hwy 17,34612,8959388,0
11-VIC,3603,10868895:8939183:8959349,Tillicum Ctr via Gorge,34755,8959349,1
11-VIC,3602,10868895:8939183:8960574,Tillicum Ctr via Gorge,34755,8960574,1
95-VIC,3602,10868050:8939186:8959474,Blink - to Langford,18836,8959474,1
95-VIC,3603,10868050:8939186:8959696,Blink - to Langford,18836,8959696,1
30-VIC,3706,10735963:8939187:8959695,Downtown,18838,8959695,1
15-VIC,3602,10867786:8939188:8959825,UVic - Fort/Foul Bay Express,19054,8959825,0
15-VIC,3603,10867786:8939188:8960228,UVic - Fort/Foul Bay Express,19054,8960228,0
4-VIC,3344,10724213:8939191:8959382,Downtown via Hillside,26927,8959382,1
4-VIC,3344,10724274:8939192:9442475,Downtown via Hillside,26927,9442475,1
75-VIC,3706,10736047:8939196:8959502,Saanichton Exch,18742,8959502,0
8-VIC,3344,10723745:8939199:9443893,Tillicum Ctr via Finalyson,26916,9443893,1
24-VIC,3603,10869323:8939205:8959148,Tillicum Ctr via Colville,21694,8959148,1
24-VIC,3602,10869323:8939205:8960095,Tillicum Ctr via Colville,21694,8960095,1
3-VIC,3344,10782329:8939209:9199604,James Bay via Quimper Loop,21590,9199604,0
14-VIC,3344,10724615:8939210:8960366,Vic General via Craigflower,26307,8960366,1
70-VIC,3344,10880316:8939218:8960220,Downtown via Hwy 17,18849,8960220,1
95-VIC,3602,10868191:8939229:8958891,Blink - to Langford,18836,8958891,1
95-VIC,3603,10868191:8939229:8960649,Blink - to Langford,18836,8960649,1
32-VIC,3344,10781430:8939233:9199474,Royal Oak Exch,18626,9199474,1
21-VIC,3602,10868747:8939235:9199570,Interurban to VI Tech Park,18452,9199570,0
21-VIC,3603,10868747:8939235:9200000,Interurban to VI Tech Park,18452,9200000,0
39-VIC,3603,10868883:8939237:9199378,UVic via Royal Oak,19369,9199378,0
39-VIC,3602,10868883:8939237:9200005,UVic via Royal Oak,19369,9200005,0
30-VIC,3706,10736038:8939238:9199805,Downtown,18838,9199805,1
