route_id,service_id,trip_id,trip_headsign,shape_id,block_id,direction_id
88-VIC,5079,11666814:12859304:12890667,Airport - via Industrial,50899,12890667,1
52-VIC,4661,11507234:12859307:12889468,Bear Mountain via Millstream,50798,12889468,1
52-VIC,4663,11507234:12859307:12891554,Bear Mountain via Millstream,50798,12891554,1
60-VIC,5079,11666642:12859308:13113009,Royal Bay Exch via Lagoon,50513,13113009,1
59-VIC,4661,11507520:12859311:12889877,Royal Bay Exch via Triangle Mtn,50663,12889877,1
59-VIC,4663,11507520:12859311:12891339,Royal Bay Exch via Triangle Mtn,50663,12891339,1
4-VIC,4663,11510326:12859312:12890072,Downtown via Hillside,50814,12890072,1
4-VIC,4661,11510326:12859312:12891278,Downtown via Hillside,50814,12891278,1
52-VIC,4661,11507255:12859317:12891022,Bear Mountain via Millstream,50798,12891022,1
52-VIC,4663,11507255:12859317:13236399,Bear Mountain via Millstream,50798,13236399,1
12-VIC,4663,11509312:12859320:12890016,UVic via Kenmore,50472,12890016,0
12-VIC,4661,11509312:12859320:12890254,UVic via Kenmore,50472,12890254,0
72-VIC,4661,11510757:12859322:12890109,Downtown via Saanichton,50602,12890109,1
72-VIC,4663,11510757:12859322:12890284,Downtown via Saanichton,50602,12890284,1
6-VIC,4661,11508323:12859327:12889059,Downtown via Royal Oak Ctr,50897,12889059,1
6-VIC,4663,11508323:12859327:12889189,Downtown via Royal Oak Ctr,50897,12889189,1
26-VIC,5079,11666509:12859328:12889693,Dockyard via McKenzie/Tillicum,50916,12889693,1
4-VIC,4332,11522037:12859332:13113070,UVic via Hillside,50582,13113070,0
28-VIC,4663,11509700:12859333:12888920,Downtown via Shelbourne,50654,12888920,1
28-VIC,4661,11509700:12859333:12890902,Downtown via Shelbourne,50654,12890902,1
10-VIC,4663,11507075:12859340:12889857,Royal Jubilee - Detour routing,48244,12889857,0
10-VIC,4661,11507075:12859340:12890211,Royal Jubilee - Detour routing,48244,12890211,0
81-VIC,4661,11507950:12859341:12890277,Swartz Bay Ferry via Lochside,50650,12890277,0
81-VIC,4663,11507950:12859341:12890710,Swartz Bay Ferry via Lochside,50650,12890710,0
